,,0,,1,,2,,3,,4,,5
,"t, с","t, °C","t, с","t, °C","t, с","t, °C","t, с","t, °C","t, с","t, °C","t, с","t, °C"
,328.5,48.352,328.5,28.925,328.5,40.447,328.5,33.875,328.5,26.975,328.5,25.225
,331.5,48.129,331.5,27.9,331.5,40.29,331.5,33.8,331.5,26.825,331.5,24.613
,334.5,47.765,334.5,27.1,334.5,40.105,334.5,33.75,334.5,26.625,334.5,24.046
,337.5,46.508,337.5,26.475,337.5,39.924,337.5,33.65,337.5,26.5,337.5,23.557
,340.5,44.763,340.5,25.975,340.5,39.772,340.5,33.575,340.5,26.35,340.5,23.093
,343.5,43.105,343.5,25.575,343.5,39.594,343.5,33.375,343.5,26.2,343.5,22.732
,346.5,41.632,346.5,25.25,346.5,39.416,346.5,32.85,346.5,26.025,346.5,22.397
,349.5,40.237,349.5,25,349.5,39.112,349.5,32.125,349.5,25.825,349.5,22.088
,352.5,38.959,352.5,24.82,352.5,38.452,352.5,31.275,352.5,25.625,352.5,21.804
,355.5,37.767,355.5,24.665,355.5,37.462,355.5,30.35,355.5,25.425,355.5,21.521
,358.5,36.701,358.5,24.562,358.5,36.294,358.5,29.475,358.5,25.2,358.5,21.263
,361.5,35.685,361.5,24.381,361.5,35.076,361.5,28.65,361.5,24.974,361.5,21.031
,364.5,34.775,364.5,24.201,364.5,33.875,364.5,27.925,364.5,24.742,364.5,20.825
,367.5,33.975,367.5,23.995,367.5,32.725,367.5,27.25,367.5,24.51,367.5,20.619
,370.5,33.175,370.5,23.789,370.5,31.7,370.5,26.7,370.5,24.253,370.5,20.387
,373.5,32.45,373.5,23.66,373.5,30.725,373.5,26.225,373.5,24.046,373.5,20.206
,376.5,31.8,376.5,23.479,376.5,29.825,376.5,25.875,376.5,23.814,376.5,20.026
,379.5,31.225,379.5,23.299,379.5,29.05,379.5,25.625,379.5,23.608,379.5,19.864
,382.5,30.7,382.5,23.067,382.5,28.375,382.5,25.5,382.5,23.402,382.5,19.728
,385.5,30.225,385.5,22.938,385.5,27.85,385.5,25.5,385.5,23.222,385.5,19.592
,388.5,29.775,388.5,22.784,388.5,27.475,388.5,25.625,388.5,23.041,388.5,19.429
,391.5,29.375,391.5,22.603,391.5,27.275,391.5,25.95,391.5,22.861,391.5,19.321
,394.5,29,394.5,22.5,394.5,27.325,394.5,26.35,394.5,22.732,394.5,19.212
,397.5,28.675,397.5,22.371,397.5,27.6,397.5,26.775,397.5,22.629,397.5,19.103
,400.5,28.35,400.5,22.294,400.5,28.125,400.5,27.225,400.5,22.603,400.5,19.022
,403.5,28.05,403.5,22.191,403.5,28.75,403.5,27.675,403.5,22.577,403.5,18.967
,406.5,27.775,406.5,22.113,406.5,29.275,406.5,28.15,406.5,22.577,406.5,18.886
,409.5,27.525,409.5,22.036,409.5,29.625,409.5,28.575,409.5,22.603,409.5,18.804
,412.5,27.325,412.5,21.985,412.5,29.8,412.5,28.925,412.5,22.629,412.5,18.75
,415.5,27.175,415.5,21.959,415.5,29.9,415.5,29.175,415.5,22.68,415.5,18.696
